crh_Latn,ukr
Cenk sebebinden Qırımda ilâçlar qıtlığı bar,У Криму зростає дефіцит ліків через війну
Vaynahlarnıñ sürgünligi kününe ve Noman Çelebicihannıñ öldüriv seneligine bağışlanğan konferentsiya,Конференція до Дня депортації вайнахів та роковин вбивства Номана Челебіджихана
Noman Çelebicihannıñ añına,У памʼять про Номана Челебіджихана
"Cinayetçiler sicili – Çubarov, Qırımda rus askerlerine topraq berüv aqqında ",Кадастр злочинців – Чубаров видачу землі російським солдатам у Криму
"Qırımda işğal makemesi, atıp taşlanğan Nabi Rahimovnıñ davasını bitirdi",У Криму окупаційний суд припинив справу застреленого Набі Рахімова
Ketken yolumızdan burulmayıq,Не звернути з обраного шляху
Kıyivde “Qırımnıñ sesi. Nariman Celâl” vesiqalı filminiñ premyerası olacaq,У Києві відбудеться прем’єра документального фільму «Голос Криму. Наріман Джелял»
Qırımda Bilohirsk tehnikumınıñ sabıq ocası Andriy Bilozerovnıñ apis müddeti uzatıldı,У Криму колишньому викладачеві Білогірського технікуму Андрію Білозерову продовжили термін арешту
Taras Kremennen körüşüv,Зустріч з Тарасом Кременем
"Qırımda işğalciler, Ukrain medeniy merkeziniñ faalcisiniñ evisini tinttiler",У Криму окупанти провели обшук у активістки Українського культурного центру
"Rus varvarları, soviet cinayetleriniñ qurbanlarına bağışlanğan abideni ateş ettiler",Російські варвари обстріляли пам’ятники жертвам радянських злочинів
"Avropa eyyeti, rfqa qarşı sanktsiyalarnıñ onuncı paketini taqdim etti",Єврокомісія представила десятий пакет санкцій проти рф
Qırımda “pamuq patlaması”,“Бавовна” у Криму
Qırım müftisi: Biz Ukraina ğalebe qazanacağına qadar küreşmege devam etecekmiz,Муфтій Криму: Ми продовжимо боротися до перемоги України
Qırımda siyasiy mabüs Cemil Ğafarov defin etildi,У Криму поховали політв’язня Джеміля Гафарова
"Er afta Koordinatsiya ştabı, başqa ülkelerge ketken qırımtatarlarnıñ meselelerini muzakere ete","Координаційний штаб щотижня обговорює проблеми кримчан, які виїхали до інших країн"
"Meclis ve QMM, Qırımnıñ meskün yerlerine tarihiy adlarını qaytarmağa teşebbüs eteler",Меджліс та КРЦ ініціюють повернення населеним пунктам у Криму історичних назв
Türkiyede ve Suriyede zelzele qurbalarınıñ sayısı 34 biñ kişi oldı,34 тисячі жертв землетрусу в Туреччині та Сирії
"Herson vilâyetinde işğalciler, keçken Kreml esiri Edem Bekirovnıñ evini zapt ettiler",На Херсонщині окупанти захопили будинок колишнього бранця Кремля Едема Бекірова
Meclis “Yahşı qomşu – eñ yaqın qoranta” umumiy ukrain tedbirini ilân ete,Меджліс оголошує всеукраїнську акцію «Добрий сусід – найближча родина»
Qırımda işğalciler Dmıtro Demçuknı azapladılar,У Криму окупанти катували активіста Дмитра Демчука
Rus SİZOda siyasiy mabüs Cemil Ğafarov vefat etti,У російському СІЗО помер політв’язень Джеміль Гафаров
Frankfurter Allgemeine Zeitung alman gazetası Celâlnıñ mektübini yayınladı,Німецька газета Frankfurter Allgemeine Zeitung опублікувала лист Джеляла
"Ukraina, Qırımda çalışmaq içün hadimler yedegini azırlaycaq",Україна підготує кадровий резерв для роботи у Криму
Rus müstemlekesinde casuslıqqa qabaatlanğan ukrainalı öldi,"У російській колонії помер українець, якого звинуватили у шпигунстві"
Suriyedeki ve Türkiyedeki zelzelelerde ölgenlerniñ sayısı endi 9 biñden ziyade kişidir,Кількість загиблих у землетрусах Сирії та Туреччини вже більше 9 тисяч
Cebede qırımtatar Eskender Nimetullayev elâk oldı,На фронті загинув кримський татарин Ескендер Німетуллаєв
"Acınamız, dostane Türkiye…","Співчуваємо, дружня Туреччино…"
